iso3,month,hdx_alert_level,hdx_value
HTI,2023-08-01,"['Medium concern', 'High concern']",10082.75
HTI,2023-09-01,['High concern'],10644.0
HTI,2024-03-01,['High concern'],26765.47619047619
HTI,2024-11-01,['Medium concern'],347.0
HTI,2024-12-01,['High concern'],796.0
HTI,2025-02-01,['High concern'],4.4
HTI,2025-06-01,['Medium concern'],1.0
HTI,2025-09-01,['High concern'],4.68
HTI,2025-10-01,['Medium concern'],1.0
HTI,2026-03-01,['Medium concern'],0.52
IDN,2019-09-01,['Medium concern'],237299.57142857142
IDN,2019-10-01,['Medium concern'],1.0
IDN,2021-01-01,['Medium concern'],303635.1838175604
IDN,2021-10-01,['Medium concern'],6947.720930232558
IDN,2022-11-01,['Medium concern'],74141.00000000003
IDN,2024-03-01,['Medium concern'],86935.50000000003
IDN,2024-12-01,"['Medium concern', 'High concern']",24131.27272727273
IDN,2025-02-01,['High concern'],206034.00000000003
IDN,2025-11-01,['High concern'],293109.50000000006
IND,2018-03-01,['Medium concern'],163.0
IND,2019-10-01,['Medium concern'],5153.0
IND,2020-06-01,['Medium concern'],168.0
IND,2020-11-01,['Medium concern'],217844.8
IND,2021-05-01,['High concern'],940536.5
IND,2023-05-01,['Medium concern'],108.0
IND,2024-05-01,['Medium concern'],71771.66666666677
IND,2025-02-01,['Medium concern'],144.0
IND,2025-05-01,['High concern'],10689.0
IRN,2017-03-01,['Medium concern'],1.0
IRN,2018-02-01,['Medium concern'],1.0
IRN,2018-08-01,['Medium concern'],1.0
IRN,2020-01-01,['High concern'],180.0
IRN,2021-07-01,['Medium concern'],1.0
IRN,2022-04-01,['Medium concern'],3.6
IRN,2023-01-01,['High concern'],108765.0
IRN,2023-02-01,['Medium concern'],3.7
IRN,2023-11-01,['High concern'],3.8
IRN,2024-01-01,"['Medium concern', 'High concern']",134.0
IRN,2024-04-01,['High concern'],31.0
IRN,2025-06-01,"['Medium concern', 'High concern']",2002688.9
IRN,2025-11-01,['Medium concern'],1.0
IRN,2026-01-01,['High concern'],23851.0
IRQ,2016-11-01,['Medium concern'],1.0
IRQ,2017-11-01,['Medium concern'],1.0
IRQ,2018-08-01,['Medium concern'],1.0
IRQ,2020-08-01,['Medium concern'],299.0
IRQ,2021-01-01,"['Medium concern', 'High concern']",12481.745762711866
IRQ,2021-06-01,['Medium concern'],1.0
IRQ,2022-03-01,['Medium concern'],1.0
IRQ,2022-12-01,['Medium concern'],271.0
IRQ,2023-01-01,['Medium concern'],1.0
IRQ,2025-05-01,['Medium concern'],3.5
IRQ,2026-02-01,['Medium concern'],1.0
IRQ,2026-03-01,['Medium concern'],100.0
ISR,2023-10-01,['High concern'],8760.0
ISR,2025-06-01,['Medium concern'],8999.999999999993
JAM,2025-11-01,['High concern'],275400.0
JOR,2021-01-01,['Medium concern'],3.1
JOR,2023-08-01,['Medium concern'],3.0
JOR,2025-06-01,['Medium concern'],3.0
JPN,2019-10-01,['Medium concern'],240452.0
KAZ,2020-02-01,['Medium concern'],11500.0
KAZ,2021-07-01,['Medium concern'],1.0
KAZ,2024-04-01,['High concern'],72284.0
KEN,1998-08-01,['Medium concern'],214.0
KEN,2001-12-01,['Medium concern'],110.0
KEN,2005-07-01,['High concern'],123.0
KEN,2007-05-01,"['Medium concern', 'High concern']",242.0
KEN,2008-01-01,['High concern'],176.0
KEN,2012-09-01,['High concern'],137.0
KEN,2013-09-01,['Medium concern'],111.0
KEN,2013-12-01,['High concern'],146.0
KEN,2014-07-01,['High concern'],152.0
KEN,2015-04-01,['High concern'],174.0
KEN,2016-11-01,['High concern'],2.0
KEN,2017-07-01,['Medium concern'],107.0
KEN,2018-05-01,['Medium concern'],1.0
KEN,2018-09-01,['Medium concern'],100.0
KEN,2018-11-01,['Medium concern'],1.0
KEN,2019-07-01,['Medium concern'],0.23
KEN,2020-02-01,['Medium concern'],1.0
KEN,2020-04-01,['Medium concern'],52524.15686181635
KEN,2020-06-01,['Medium concern'],3.5
KEN,2021-04-01,['Medium concern'],1.0
KEN,2021-11-01,['High concern'],2.0
KEN,2022-02-01,['High concern'],0.05
KEN,2022-03-01,['Medium concern'],3.3
KEN,2022-06-01,['High concern'],2.0
KEN,2022-09-01,['Medium concern'],3.8
KEN,2023-01-01,['High concern'],0.07
KEN,2023-02-01,['High concern'],103.0
KEN,2023-03-01,['High concern'],5460.0
KEN,2023-08-01,['High concern'],124.0
KEN,2023-10-01,['High concern'],50364.00000000001
KEN,2023-11-01,['Medium concern'],1.0
KEN,2024-03-01,['High concern'],5772.944827586207
KEN,2024-04-01,['Medium concern'],1.0
KEN,2025-03-01,['Medium concern'],114.0
KEN,2025-08-01,['High concern'],7781.0
KEN,2025-10-01,['Medium concern'],1.0
KEN,2026-02-01,['Medium concern'],0.22
KGZ,2017-03-01,['Medium concern'],1.0
KGZ,2021-06-01,"['Medium concern', 'High concern']",8001.0
KGZ,2022-01-01,['High concern'],11052.0
KGZ,2022-09-01,['High concern'],34192.5
KGZ,2022-11-01,['Medium concern'],18.0
KHM,2019-09-01,['Medium concern'],50947.21739130434
KHM,2020-10-01,['Medium concern'],50596.15384615384
KHM,2025-08-01,['High concern'],344188.0
KHM,2026-01-01,['High concern'],501229.0
LAC,2018-11-01,['Medium concern'],0.23
LAC,2019-10-01,['Medium concern'],0.26
LAC,2020-10-01,['Medium concern'],0.33
LAC,2021-11-01,['Medium concern'],0.28
LAC,2023-03-01,['Medium concern'],0.25
LAC,2024-05-01,['Medium concern'],0.21
LAO,2018-08-01,['Medium concern'],1.0
LAO,2019-09-01,['Medium concern'],51208.0
LBN,2017-07-01,['Medium concern'],144.0
LBN,2020-08-01,['Medium concern'],51612.90322580645
LBN,2021-01-01,['High concern'],33.0
LBN,2021-12-01,['Medium concern'],18.0
LBN,2022-09-01,['High concern'],0.07
LBN,2023-07-01,['High concern'],9700.2
LBN,2023-10-01,['Medium concern'],0.25
LBN,2024-02-01,['High concern'],100.0
LBN,2024-09-01,['High concern'],902932.2857142858
LBN,2024-10-01,['Medium concern'],3.9
LBN,2026-03-01,['Medium concern'],80198.00000000003
LBR,1999-08-01,['Medium concern'],166.0
LBR,2003-06-01,['High concern'],131.0
LBR,2017-05-01,['Medium concern'],1.0
LBR,2018-05-01,['Medium concern'],1.0
LBR,2024-06-01,['High concern'],60309.0
LBY,2011-02-01,['High concern'],116.0
LBY,2011-08-01,['High concern'],999.0
LBY,2013-12-01,['Medium concern'],105.0
LBY,2014-07-01,['Medium concern'],271.0
LBY,2016-06-01,['Medium concern'],419.0
LBY,2016-12-01,['High concern'],683.0
LBY,2019-04-01,['Medium concern'],245.0
LBY,2020-04-01,['High concern'],514.0
LBY,2020-06-01,['Medium concern'],20350.0
LBY,2021-02-01,['Medium concern'],18.0
LBY,2024-04-01,['Medium concern'],4.0
LBY,2026-02-01,['Medium concern'],1.0
LKA,2019-04-01,['High concern'],263.0
LKA,2021-06-01,['High concern'],50543.142857142855
LKA,2021-11-01,['Medium concern'],11.0
LKA,2022-04-01,['High concern'],25.0
LKA,2022-07-01,['Medium concern'],1.0
LKA,2025-12-01,"['High concern', 'Medium concern']",55796.294117647056
