iso3,month,event_type,sub_event_type,disorder_type,events,fatalities
NGA,2006-02-01,"['Protests', 'Riots', 'Violence against civilians', 'Battles']","['Excessive force against protesters', 'Mob violence', 'Violent demonstration', 'Attack', 'Peaceful protest', 'Armed clash', 'Abduction/forced disappearance']","['Political violence; Demonstrations', 'Political violence', 'Demonstrations']",24,69
SDN,2006-02-01,"['Explosions/Remote violence', 'Battles', 'Violence against civilians', 'Riots', 'Strategic developments']","['Shelling/artillery/missile attack', 'Armed clash', 'Government regains territory', 'Attack', 'Violent demonstration', 'Agreement', 'Looting/property destruction']","['Political violence', 'Demonstrations', 'Strategic developments']",13,32
SOM,2006-02-01,"['Protests', 'Battles', 'Strategic developments', 'Violence against civilians', 'Riots']","['Peaceful protest', 'Armed clash', 'Agreement', 'Attack', 'Violent demonstration', 'Abduction/forced disappearance', 'Other']","['Demonstrations', 'Political violence', 'Strategic developments']",40,51
TCD,2006-02-01,['Violence against civilians'],"['Abduction/forced disappearance', 'Attack']",['Political violence'],2,0
TGO,2006-02-01,['Riots'],['Mob violence'],['Political violence'],1,0
TZA,2006-02-01,['Protests'],['Peaceful protest'],['Demonstrations'],1,0
UGA,2006-02-01,"['Riots', 'Battles', 'Protests', 'Violence against civilians', 'Strategic developments']","['Violent demonstration', 'Armed clash', 'Peaceful protest', 'Attack', 'Agreement']","['Demonstrations', 'Political violence', 'Strategic developments']",22,52
ZAF,2006-02-01,"['Protests', 'Riots']","['Peaceful protest', 'Mob violence']","['Demonstrations', 'Political violence']",5,1
ZWE,2006-02-01,"['Protests', 'Battles', 'Violence against civilians']","['Peaceful protest', 'Protest with intervention', 'Armed clash', 'Attack']","['Demonstrations', 'Political violence']",10,1
BDI,2006-03-01,"['Battles', 'Strategic developments', 'Violence against civilians']","['Armed clash', 'Change to group/activity', 'Attack']","['Political violence', 'Strategic developments']",11,14
CAF,2006-03-01,"['Battles', 'Violence against civilians']","['Government regains territory', 'Attack']",['Political violence'],2,1
COD,2006-03-01,"['Battles', 'Strategic developments', 'Violence against civilians']","['Armed clash', 'Change to group/activity', 'Government regains territory', 'Non-state actor overtakes territory', 'Attack', 'Looting/property destruction', 'Abduction/forced disappearance', 'Sexual violence']","['Political violence', 'Strategic developments']",30,18
COG,2006-03-01,['Violence against civilians'],['Attack'],['Political violence'],1,1
DZA,2006-03-01,"['Battles', 'Riots', 'Violence against civilians', 'Explosions/Remote violence', 'Protests']","['Armed clash', 'Mob violence', 'Attack', 'Remote explosive/landmine/IED', 'Shelling/artillery/missile attack', 'Peaceful protest', 'Government regains territory', 'Violent demonstration']","['Political violence', 'Demonstrations']",16,19
ETH,2006-03-01,"['Protests', 'Riots', 'Violence against civilians', 'Battles', 'Strategic developments']","['Peaceful protest', 'Violent demonstration', 'Attack', 'Non-state actor overtakes territory', 'Headquarters or base established']","['Demonstrations', 'Political violence', 'Strategic developments']",18,3
GAB,2006-03-01,['Protests'],['Protest with intervention'],['Demonstrations'],1,0
GMB,2006-03-01,['Battles'],['Armed clash'],['Political violence'],1,0
GNB,2006-03-01,"['Battles', 'Explosions/Remote violence', 'Strategic developments', 'Violence against civilians']","['Armed clash', 'Government regains territory', 'Non-state actor overtakes territory', 'Remote explosive/landmine/IED', 'Shelling/artillery/missile attack', 'Headquarters or base established', 'Attack']","['Political violence', 'Strategic developments']",14,61
KEN,2006-03-01,"['Battles', 'Protests', 'Violence against civilians']","['Armed clash', 'Peaceful protest', 'Sexual violence', 'Attack']","['Political violence', 'Demonstrations']",12,11
MAR,2006-03-01,"['Protests', 'Riots']","['Peaceful protest', 'Violent demonstration']",['Demonstrations'],2,0
MDG,2006-03-01,['Riots'],['Mob violence'],['Political violence'],1,0
