iso3,month,monthly_displacement
BEN,2026-01-01,0.0
BEN,2026-02-01,0.0
BEN,2026-03-01,0.0
BEN,2026-04-01,0.0
BFA,2018-01-01,0.0
BFA,2018-02-01,0.0
BFA,2018-03-01,0.0
BFA,2018-04-01,0.0
BFA,2018-05-01,0.0
BFA,2018-06-01,0.0
BFA,2018-07-01,0.0
BFA,2018-08-01,0.0
BFA,2018-09-01,0.0
BFA,2018-10-01,1844.0
BFA,2018-11-01,0.0
BFA,2018-12-01,0.0
BFA,2019-01-01,0.0
BFA,2019-02-01,0.0
BFA,2019-03-01,8772.6967212
BFA,2019-04-01,15481.229508
BFA,2019-05-01,15997.2704916
BFA,2019-06-01,15481.229508
BFA,2019-07-01,15997.2704916
BFA,2019-08-01,15997.2704916
BFA,2019-09-01,15481.229508
BFA,2019-10-01,15997.2704916
BFA,2019-11-01,6708.5327868
BFA,2019-12-01,0.0
BFA,2020-01-01,2952.8965512
BFA,2020-02-01,7136.1666654
BFA,2020-03-01,7628.3160906
BFA,2020-04-01,7382.241378
BFA,2020-05-01,7628.3160906
BFA,2020-06-01,7382.241378
BFA,2020-07-01,7628.3160906
BFA,2020-08-01,7628.3160906
BFA,2020-09-01,7382.241378
BFA,2020-10-01,7628.3160906
BFA,2020-11-01,7382.241378
BFA,2020-12-01,7628.3160906
BFA,2021-01-01,16537.399641300002
BFA,2021-02-01,14714.745096800001
BFA,2021-03-01,16291.324928600001
BFA,2021-04-01,15765.798318000001
BFA,2021-05-01,16291.324928600001
BFA,2021-06-01,15765.798318000001
BFA,2021-07-01,16291.324928600001
BFA,2021-08-01,16291.324928600001
BFA,2021-09-01,15765.798318000001
BFA,2021-10-01,16291.324928600001
BFA,2021-11-01,15765.798318000001
BFA,2021-12-01,12087.1120438
BFA,2022-01-01,59027.336809
BFA,2022-02-01,53315.013892
BFA,2022-03-01,59027.336809
BFA,2022-04-01,57123.22917
BFA,2022-05-01,59027.336809
BFA,2022-06-01,57123.22917
BFA,2022-07-01,59027.336809
BFA,2022-08-01,59027.336809
BFA,2022-09-01,57123.22917
BFA,2022-10-01,28561.614585
BFA,2022-11-01,0.0
BFA,2022-12-01,0.0
BFA,2023-01-01,78307.0000007
BFA,2023-02-01,70478.8148094
BFA,2023-03-01,30794.870373900005
BFA,2023-04-01,35226.8325167
BFA,2023-05-01,89845.4823061
BFA,2023-06-01,82704.65384900001
BFA,2023-07-01,73506.3461508
BFA,2023-08-01,18733.999999
BFA,2023-09-01,7494.775
BFA,2023-10-01,25970.201469300002
BFA,2023-11-01,78744.4272542
BFA,2023-12-01,42029.5962737
BFA,2024-01-01,38385.257143
BFA,2024-02-01,23397.8732923
BFA,2024-03-01,11611.6086969
BFA,2024-04-01,14138.26087
BFA,2024-05-01,38431.4060428
BFA,2024-06-01,69955.4312338
BFA,2024-07-01,62570.764502699996
BFA,2024-08-01,42183.549296000005
BFA,2024-09-01,7771.5791173
BFA,2024-10-01,33090.1131733
BFA,2024-11-01,19482.156626340002
BFA,2024-12-01,18962.0
BFA,2025-01-01,21569.73684224
BFA,2025-02-01,33553.71052548
BFA,2025-03-01,14547.066605999999
BFA,2025-04-01,102611.9241793
